Date created,Reporting period start date,Reporting period end date,Jurisdiction,Population
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Carroll County,176735
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Cecil County,105676
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Charles County,172268
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Dorchester County,32922
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Frederick County,294154
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Garrett County,28502
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Harford County,264771
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Howard County,337341
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Kent County,19441
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Montgomery County,1069397
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Prince George's County,956533
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Queen Anne's County,52682
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Somerset County,25044
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,St. Mary's County,115479
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Talbot County,38067
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Washington County,156116
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Wicomico County,105585
2025-05-21T00:00:00.000,07/01/2022 12:00:00 AM,06/30/2023 12:00:00 AM,Worcester County,54229
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,MARYLAND,6263220
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Allegany County,67097
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Anne Arundel County,602350
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Baltimore City,568271
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Baltimore County,852425
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Calvert County,94913
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Caroline County,34248
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Carroll County,177108
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Cecil County,106305
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Charles County,174478
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Dorchester County,33138
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Frederick County,299317
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Garrett County,28393
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Harford County,265514
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Howard County,339668
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Kent County,19557
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Montgomery County,1082273
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Prince George's County,966629
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Queen Anne's County,53688
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Somerset County,25241
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,St. Mary's County,116469
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Talbot County,38244
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Washington County,157228
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Wicomico County,106329
2025-05-21T00:00:00.000,07/01/2023 12:00:00 AM,06/30/2024 12:00:00 AM,Worcester County,54337
